Domain,Word,Definition,TLD
alahula.net,alahula,"   • a frequented and well-known path; to frequent such; 
   • to tread or trample, as on a taboo being broken. And.   ",la
hakalunu.net,hakalunu, ,nu
halakau.net,halakau,"to perch high, as a bird. ",au
alapinepine.net,alapinepine, ,ne
anapuni.net,anapuni,"boundary, circumference, perimeter; to encircle, go around. ",ni
hakupapa.net,hakupapa,"to sew feathers to a band, as for a hat. ",pa
ahimakani.net,ahimakani,"gasoline. lit., wind fire. ",ni
akeake.net,akeake,"quick, ready, as to do a kindly, deed, helpful. ",ke
hahina.net,hahina, ,na
epaepa.net,epaepa,part of a fish's tail above and below the cleft. ,pa
auakua.net,auakua,"ghost-ridden; haunted or unfriendly land. lit., ghost bile. cf. (Isa. 13.9) . ",ua
anawaena.net,anawaena,"diameter. lit., middle measure. ",na
aukana.net,aukana,short for au kanaiʻi. ,na
akemakani.net,akemakani,"lung. lit., wind liver. ",ni
halahalakau.net,halahalakau, ,au
halalani.net,halalani,"high heavens, atmosphere. ",ni
hilihili.net,hilihili, ,li
hinaonalailena.net,hinaonalailena, ,na
hapalima.net,hapalima,fifth; one fifth. ,ma
heuheu.net,heuheu, ,eu
hikikauelono.net,hikikauelono,name of a star. ,no
heluhelu.net,heluhelu,to scratch. ,lu
hanawai.net,hanawai,"irrigation; to irrigate, water. ",ai
hemohemo.net,hemohemo,"separation, loosening. ",mo
haohana.net,haohana,"scooping; handful. (Probably hao₃ + -hana, nominalizer.) ",na
haokanu.net,haokanu,seedbed; to prepare a seedbed. ,nu
haulana.net,haulana,"iceberg, floating ice. ",na
hikoni.net,hikoni,"tattoo brand on the forehead of a kauā outcast, or on the forehead of the caught seducer of a high chief's wife. (see (Malo 70, figure 1)) ",ni
hanaua.net,hanaua, ,ua
hapaina.net,hapaina,"carrying, lifting, carrier; pregnancy. ",na
haunama.net,haunama,a slightly offensive odor. ,ma
hoehoene.net,hoehoene, ,ne
hoholu.net,hoholu, ,lu
haukapila.net,haukapila,hospital. ,la
haulani.net,haulani,"   • to surge, as the sea; 
   • to plunge, as a canoe; 
   • to ply back and forth; 
   • restless, constantly on the move. 
   • to repeatedly travel speedily, as a boat or train...
   • fig., to dissipate.    ",ni
haupalemo.net,haupalemo,"a lua fighting stroke. lit., the drowned blow... ",mo
hoena.net,hoena,paddling. ,na
hepahepa.net,hepahepa, ,pa
helemauna.net,helemauna,"a rare native variety of dry-land taro, with dark purplish petioles and white corms; grown on Hawaiʻi. ",na
helahela.net,helahela, ,la
hihina.net,hihina, ,na
hikihiki.net,hikihiki,"to come repeatedly, as voices. ",ki
holana.net,holana, ,na
