Domain,Word,Definition,TLD
kamakini.net,kamakini,"to impose a general taboo. lit., to tie the multitude. ",ni
kanahai.net,kanahai,Shanghai; to shanghai. ,ai
kamawae.net,kamawae,"selective, difficult to please. lit., person [who] chooses. ",ae
kanakona.net,kanakona,Canton. ,na
kaiua.net,kaiua,"to continue, repeat. ",ua
kaniuli.net,kaniuli,"to purse the lips, as in disapproval or disagreement. ",li
kanawao.net,kanawao,"small endemic trees (Broussaisia arguta), with large, oval, toothed leaves, in the saxifrage family; the small flowers and berries are arranged in wide, convex clusters. The flowers of one form have bluish-green petals; of another, red, another white, An old belief was that eating the fruit helped in fecundity; the increase of chiefs was compared to a fruiting kanawao. Varieties are qualified by the colors keʻokeʻo and ʻulaʻula. ",ao
kalauae.net,kalauae,lazy. ,ae
kaleponi.net,kaleponi,California. ,ni
kalewali.net,kalewali,calvary. ,li
kalioneke.net,kalioneke,clarinet. ,ke
kapakapalili.net,kapakapalili, ,li
kanalani.net,kanalani,"in great numbers, numerous; abundance. ",ni
kalakia.net,kalakia,grace. ,kia
kalanakula.net,kalanakula,tarantula. ,la
kalawai.net,kalawai,"to surround, go around. ",ai
kanenene.net,kanenene, ,ne
kahuli.net,kahuli,"to overturn, overthrow, capsize, upset. ",li
kanaie.net,kanaie,same as hoʻokanaie. ,ie
kanihapa.net,kanihapa,"half-step interval in music, a minor second. ",pa
kanono.net,kanono,"to whack, bang, smack, as of a blow; to receive such a resounding blow. ",no
kakala.net,kakala, ,la
kakalina.net,kakalina,gasoline. ,na
kalaima.net,kalaima,crime; criminal. ,ma
kalepona.net,kalepona,carbon. ,na
kakapila.net,kakapila,caterpillar (tractor). ,la
kalenekalio.net,kalenekalio,calendar. ,io
kapakokia.net,kapakokia,Cappadocia. ,kia
kamolapoki.net,kamolapoki,smallpox. ,ki
kahuki.net,kahuki, ,ki
kakilileke.net,kakilileke,sacrilege. ,ke
kalekona.net,kalekona,dragon. ,na
kalemakia.net,kalemakia,Dalmatia. ,kia
kamalena.net,kamalena,"yellow, yellow-hued; tapa dyed yellow with ʻōlena. ",na
kanikau.net,kanikau,"dirge, lamentation, chant of mourning, lament; to chant, wail, mourn. (Bib.) ",au
kaipuni.net,kaipuni,typhoon. ,ni
kakepiana.net,kakepiana,Caspian. ,na
kaleiomanu.net,kaleiomanu,a lua fighting stroke. ,nu
kalipa.net,kalipa,caliph. ,pa
kameleona.net,kameleona,"chameleon (RSV), mole (KJV).  (Oihk. 11.30)  Jackson's chameleon (Chamaeleo jacksoni) has been noted on Oʻahu since 1972, the green anole lizard (Anolis carolinensis porcatus) since, 1950; this is also commonly called chameleon. (McKeown 28–33). ",na
kakiana.net,kakiana,sergeant. ,na
kaloline.net,kaloline,chlorine. ,ne
kalamona.net,kalamona, ,na
kaluulu.net,kaluulu,"a land term of uncertain meaning and pronunciation commonly used in Kona, Hawaiʻi, in about 1848. Perhaps ulu is ʻulu, breadfruit. ",lu
kaimonio.net,kaimonio, ,io
kakahili.net,kakahili,idle chatter; to talk idly; to wander aimlessly. ,li
kakapa.net,kakapa, ,pa
kapae.net,kapae,star name (no data). ,ae
kanikela.net,kanikela,consul. ,la
kalili.net,kalili, ,li
kakanalua.net,kakanalua,dubious. ,ua
kalakupua.net,kalakupua,under control of a mysterious or supernatural power; magic. ,ua
kamalama.net,kamalama,"name of a star. lit., the light. ",ma
kakakau.net,kakakau, ,au
kakekumeno.net,kakekumeno,catechumen. ,no
kakamina.net,kakamina,"catmint, catnip. ",na
kaneikalau.net,kaneikalau,combination of the juices of ʻōlena root and mānienie grass used medicinally. ,au
kaiapa.net,kaiapa,diaper. ,pa
kanupe.net,kanupe,Danube. ,pe
kahukahu.net,kahukahu,to offer food and prayers to a god or to the spirit of a deified person. ,hu
kaioke.net,kaioke,coyote. ,ke
kalikolehua.net,kalikolehua,a slow-growing sweet potato. ,ua
kalipoli.net,kalipoli,Galipoli. ,li
kaiehu.net,kaiehu,"   • to scatter or stir up, as dust or dirt; 
   • tossed, as spray; 
   • to moisten or sprinkle with fine drops of water, as of poi being pounded.    ",hu
kalewai.net,kalewai,kind of light-brownish tapa. ,ai
kamakaunulau.net,kamakaunulau,"star name, perhaps same as Unulau. ",au
kaikuehu.net,kaikuehu,enema. ,hu
kakalama.net,kakalama,silver money. ,ma
kamahine.net,kamahine,girl. ,ne
kamanu.net,kamanu, ,nu
kapakapalulu.net,kapakapalulu, ,lu
kapakapa.net,kapakapa,"   • plural of kapa₃; 
   • human crotch; 
   • kilu quoit shots that stray from the mark. ",pa
kalilaio.net,kalilaio,Galilee. ,io
kahikolu.net,kahikolu,"trinity, three in one. ",lu
kakoma.net,kakoma,Tacoma. ,ma
kamapane.net,kamapane,Champagne. ,ne
kamalino.net,kamalino,a sweet potato. ,no
kakanakana.net,kakanakana,a grass. ,na
kaiena.net,kaiena,"to walk with feet far apart, as an infant; to straddle, as on a horse. ",na
kaliwalana.net,kaliwalana,Cleveland. ,na
kaliali.net,kaliali,a tree or plant used in medicine. ,li
kamelopaki.net,kamelopaki,"camelopard, giraffe. ",ki
kanahua.net,kanahua,"humped up, bent, stoop-shouldered. ",ua
kalakalai.net,kalakalai,"to carve, cut, hew, hoe, etc., a little at a time; to whittle. ",ai
kalepiana.net,kalepiana,Caribbean. ,na
kalekekona.net,kalekekona,chalcedony. ,na
kakulena.net,kakulena,Saturn. ,na
kamaehu.net,kamaehu,"strength, energy, firmness of resolution, fixedness of purpose. ",hu
kaleke.net,kaleke,Thursday. ,ke
kalaina.net,kalaina,"a carving, hewing. rock carving (KAN) ",na
kalekena.net,kalekena,Saracen. ,na
kaloloamaiau.net,kaloloamaiau,"a lua fighting stroke. lit., neat length. ",au
kaulu.net,kaulu,"ledge, step, jog, as on a cliff. [Elbert lists this form as varying with kaunu in his 1982 l-n doublets list (JPS Lexical Diffusion...) possibly the source of kaulu₇ ?] ",lu
kapualalokalani.net,kapualalokalani,"star name, no data. ",ni
kaunakeke.net,kaunakeke,countess. ,ke
kaupua.net,kaupua, ,ua
kenikikona.net,kenikikona,Kensington. ,na
kikina.net,kikina,"urging, insistence. ",na
kihuahua.net,kihuahua,Chihuahua. ,ua
kilihune.net,kilihune,"   • fine, light rain, 
   • wind-blown spray, 
   • drizzle; to shower lightly.    ",ne
kilape.net,kilape,giraffe. ,pe
kepohoni.net,kepohoni,Cape Horn. ,ni
kikanaine.net,kikanaine,strychnine. ,ne
kaunu.net,kaunu,"   • to make love; 
   • to love; 
   • thrill of love, passion; 
   • to be fascinated, absorbed.    ",nu
kaumoli.net,kaumoli,"stick about 10 cm long with holes down its middle, used to hold gunwales in place while they are being sewed on with sennit. ",li
kepela.net,kepela,spelling; to spell. ,la
keonimana.net,keonimana,gentleman. ,na
kialehua.net,kialehua,Niʻihau wind. ,ua
kikili.net,kikili, ,li
kauhuhu.net,kauhuhu,"house ridgepole, main ridge pole. see illus. 1, illus. 2, illus. 4",hu
kaunuanalau.net,kaunuanalau,a large Hawaiian bird. ,au
kekokia.net,kekokia,"Scotland; Scotch, Scottish. ",kia
kiakono.net,kiakono, ,no
kikiapali.net,kikiapali, ,li
kilihunehune.net,kilihunehune, ,ne
kiliona.net,kiliona,trillion. ,na
kauamoe.net,kauamoe,"ambuscade. lit., lying-down war. ",moe
kaumanu.net,kaumanu,paper mulberry too old to be used for tapa. ,nu
kauokahiki.net,kauokahiki, ,ki
kelaki.net,kelaki,celery (Apium graveolens) ,ki
kelapima.net,kelapima,seraphim. ,ma
kimokimo.net,kimokimo,"up-and-down motion, as of a trip hammer.
   redup. of kimo₁, (play) a game similar to jacks...
   redup. of kimo₂, to bob, as the head; to bend or fall forward...   ",mo
kepaniwaiolokookahiki.net,kepaniwaiolokookahiki,"star name (no data). lit., the dam within Kahiki. ",ki
kemepulu.net,kemepulu, ,lu
kauaiki.net,kauaiki,"first harvest of small sweet potatoes, others being left to grow larger. ",ki
kauahae.net,kauahae,"wind name. lit., the raging rain. ",ae
kekimala.net,kekimala,decimal. ,la
kemoine.net,kemoine,Des Moines. ,ne
kelakio.net,kelakio,"carob tree (Ceratonia siliqua), somewhat like the algaroba; in (Luka 15.16)  Hawaiian hua keratio corresponds to English pods (RSV) or husks (KJV). ",io
kawaonuiaola.net,kawaonuiaola,"name of a star appearing in the month of Hilina-mā. lit., the great forests of Life. ",la
kiakona.net,kiakona,deacon. ,na
kilikilihune.net,kilikilihune, ,ne
kilipaki.net,kilipaki,Gilbert Islands; Gilbertese. [Kiribati] ,ki
kapoulena.net,kapoulena,jaundice. ,na
kiapali.net,kiapali,"term used in 1848 land claims, perhaps a steep hill. ",li
kapeke.net,kapeke,"kind of malo dyed one color on one side, and another color on the other side (the wind often blows and exposes [kapeke] the color on the reverse side). ",ke
kauliki.net,kauliki,southeast. ,ki
kehena.net,kehena,Gehenna. ,na
kaukaula.net,kaukaula,temporary rope fence. ,la
kekepa.net,kekepa, ,pa
kikila.net,kikila,kettle. ,la
kauluwela.net,kauluwela,"glowing, bright-colored, colorful. ",la
kekene.net,kekene,"evilly disposed, jealous. ",ne
kapikala.net,kapikala,"capital, capitol (city, building). ",la
kauila.net,kauila,"a native tree in the buckthorn family (Alphitonia ponderosa), found on the six main Hawaiian islands, with alternating leaves, oblong to narrow and woolly below; 
  • its hard wood was used for spears and mallets.  
   • Its wood was one of three kinds from trees on Mauna Loa, Molokaʻi, that were rumored to be poisonous from that location alone, and were used in black magic. The three trees were called kālai pāhoa; the others were ʻohe and nīoi. ",la
kaukolu.net,kaukolu,"triple, trinity, group of three. ",lu
kekoloike.net,kekoloike,Detroit. ,ke
kelama.net,kelama,dram (the weight or coin). ,ma
kelema.net,kelema,"consecrated oil and balm, as used in confirmation services; chrisom. ",ma
kaupaona.net,kaupaona,"   • scales, 
   • weight; to weigh. 
   • fig., to consider, judge, estimate.
   lit., place pound (Eng.). ",na
kepahoni.net,kepahoni,Cape Horn. ,ni
keakula.net,keakula,"pine (RSV), box tree (KJV) (Buxus sempervirens). (Isa. 41.19) , (Neal 520). ",la
kekekemane.net,kekekemane,Gethsemane. ,ne
kelewai.net,kelewai,"coarse tapa, as made from māmaki bark or from the waste of better grade tapa. ",ai
kepakepa.net,kepakepa,"   • interruption; to interrupt; 
   • choppy, as the sea.   ",pa
kikikiki.net,kikikiki,"to mend, as a crack in a wooden bowl. ",ki
kihikau.net,kihikau,to give lavishly. ,au
kaulona.net,kaulona,"   • to observe closely, 
   • to direct attention to, 
   • aim at.   ",na
kiakula.net,kiakula, ,la
kauliolioiwawau.net,kauliolioiwawau,"probably same as Liolioiwawau, a star name. ",au
kaupau.net,kaupau,"an edible brown seaweed (Chnoospora pacifica), with many slender branches. ",au
kekaihili.net,kekaihili,name of a southern star. ,li
kenelala.net,kenelala,general. ,la
kilihuna.net,kilihuna, ,na
kilikiano.net,kilikiano, ,no
keliuma.net,keliuma,bdellium. ,ma
kepilepila.net,kepilepila,Springfield. ,la
kikelona.net,kikelona,citron (Citrus medica). ,na
kiliua.net,kiliua,"wind associated with Waikāne, Oʻahu. ",ua
kewona.net,kewona,Devon. ,na
kikama.net,kikama,white tapa made of wauke. ,ma
kauluwena.net,kauluwena,"star name, no data. ",na
kimeki.net,kimeki,"cement, concrete, asphalt. ",ki
kauhua.net,kauhua,desire. ,ua
kekokehome.net,kekokehome,Stockholm. ,me
kimepani.net,kimepani,chimpanzee. ,ni
kapuahikuni.net,kapuahikuni,smallpox. ,ni
kapuhili.net,kapuhili,the many taboos inherited from chiefly ancestors or from the gods; person with many taboos. ,li
kaulua.net,kaulua,"   • double canoe, 
   • pair, span, yoke, 
   • two of a kind; 
   • to put together or pair, to yoke or harness together, 
   • to double in quantity; 
   • coupled. 
   • fig., two-natured. ",ua
kelakona.net,kelakona,dragon. ,na
kelekona.net,kelekona, ,na
kikaliki.net,kikaliki,cigarette. ,ki
kapenekine.net,kapenekine,turpentine. ,ne
kaumalumalu.net,kaumalumalu,"to overlook faults of others. lit., to place shade. ",lu
keikimahine.net,keikimahine,an old spelling of kaikamahine. ,ne
kelupima.net,kelupima,cherubim. ,ma
kapeau.net,kapeau,to go on hands and knees before high royalty; to act humbly. ,au
kenimekela.net,kenimekela,centimeter. ,la
kenola.net,kenola,tern. ,la
kimepala.net,kimepala,cymbals. ,la
kenikeni.net,kenikeni,"to assemble a complete outfit or set, as of furniture, food, fishing gear, clothing. ",ni
kauweke.net,kauweke,southwest. ,ke
kikona.net,kikona,"ibex (RSV), pygarg (KJV). ",na
kimalola.net,kimalola,steam roller. ,la
kekahuna.net,kekahuna,the book Ecclesiastes. ,na
keakeomilu.net,keakeomilu,"a lua fighting stroke. lit., the liver of Milu. ",lu
kauwelu.net,kauwelu, ,lu
kelukake.net,kelukake,Crusade. ,ke
kenakena.net,kenakena,"satiated, surfeit. ",na
kiahamanu.net,kiahamanu,a fresh-water fish similar to nāwao. ,nu
kikima.net,kikima,"acacia (RSV), shittah (KJV). ",ma
kaununu.net,kaununu,pole set up as indicative of taboo. ,nu
kaupalena.net,kaupalena,"   • to limit, restrict, moderate, limitation, ration.
   • mark a border or boundary, 
   • set a deadline; deadline. ",na
kekakia.net,kekakia,"stadia, in surveying (RSV), furlong (KJV). ",kia
kelekalapa.net,kelekalapa,"telegraph; to send a telegram or cable. See song, (EM 61). ",pa
kewila.net,kewila,Seville. ,la
kauhulu.net,kauhulu,gathering of fish in schools near the surface of the sea. ,lu
kaukini.net,kaukini,cousin. ,ni
kaumahana.net,kaumahana,native mistletoes. ,na
kaunana.net,kaunana, ,na
kelemoio.net,kelemoio, ,io
kelikoli.net,kelikoli,territory; territorial. ,li
kepola.net,kepola,"sparrow (RSV), bird (KJV). ",la
kauhola.net,kauhola,"to open, unfold, as a tapa; to expand, as a flower in bloom. ",la
kikepepekia.net,kikepepekia,dyspepsia. ,kia
kelawini.net,kelawini,"gale. lit., wind gale. ",ni
kelakela.net,kelakela, ,la
kelekalama.net,kelekalama,telegram; to send a telegram or cable. ,ma
kelupa.net,kelupa,cherub. ,pa
kekalana.net,kekalana,Shetland. ,na
kauleina.net,kauleina,insecurity. ,na
kihawahine.net,kihawahine,"same as liʻawahine, blossoms of kukui. ",ne
kapukawai.net,kapukawai,handsome. ,ai
kaukamalama.net,kaukamalama,name of a star that rises with Kawelolani in the month of ʻIkuā. ,ma
kaukaunu.net,kaukaunu, ,nu
kaulani.net,kaulani,"to rely on the chief, to support the chief, to put confidence in the chief. ",ni
kauluikua.net,kauluikua,"star name, perhaps same as ʻAʻā, Sirius. ",ua
keliliona.net,keliliona,trillion. ,na
kepena.net,kepena,wild gourd. ,na
kikala.net,kikala,"pine tree (RSV), fir tree (KJV). ",la
kapalulu.net,kapalulu,"   • whirring, as of quail taking flight; 
   • buzzing; 
   • roaring, as of an airplane; 
   • crackling, as of a fire; 
   • to whiz. ",lu
kilahila.net,kilahila,Cedar Hill. ,la
kaualau.net,kaualau, ,au
kauwili.net,kauwili,"to mingle, mix. ",li
kikowaena.net,kikowaena,"center of a circle; headquarters; Central, telephone operator; bull's eye. ",na
kapolena.net,kapolena,"tarpaulin, canvas. ",na
koani.net,koani,"same as koali:
   • some kinds of morning-glory...; 
   • swing; to swing...;  
   • a variety of sweet potato...; ",ni
kuaina.net,kuaina,"twine, string. ",na
kinamona.net,kinamona,"cinnamon (Cinnamomum zeylanicum). (Neal 362), (Hoik. 18.13) . ",na
koili.net,koili,"to rest on, as the moon on the surface of the sea; to sink into, penetrate. ",li
kualapehu.net,kualapehu,"pugilist in the high chief's court, a muscular young man who might also be asked to massage a chiefess or have relations with her. ",hu
kualiali.net,kualiali, ,li
kuamauna.net,kuamauna,mountaintop. ,na
kuekuehu.net,kuekuehu, ,hu
kipapau.net,kipapau, ,au
kipapani.net,kipapani,to flock. ,ni
kuahauli.net,kuahauli,"large ʻōʻio, ladyfish or bonefish. ",li
kuaehu.net,kuaehu,"silent, still, lonely. ",hu
kuaola.net,kuaola,"verdant mountain, where all thrives and grows. ",la
kolakola.net,kolakola, ,la
kuahine.net,kuahine,"(more commonly Tuahine). Name of a misty rain famous in Mānoa, Oʻahu, named for Kuahine, who turned to rain after the murder of her daughter, Ka-hala-o-Puna; the rain is also in other localities. ",ne
kuakemala.net,kuakemala,Guatemala. ,la
kiola.net,kiola,"   • to throw, toss; 
   • to deposit, as, bones of the dead.     ",la
koliana.net,koliana,accordion. ,na
kinihama.net,kinihama,gingham. ,ma
komopani.net,komopani,term used in 1845 for a military company. ,ni
kolepana.net,kolepana,corban. ,na
kokoli.net,kokoli, ,li
kualua.net,kualua,"four generations removed, of a great-great-grandparent or great-great-grandchild, as kupuna kualua, moʻopuna kualua; for some speakers, three generations removed. ",ua
kuehu.net,kuehu,"   • to shake, stir up, as dust;
   • to knock a club from a foe's hands; 
   • to toss up, as spray; 
   • to brandish, wave; 
   • to clear of weeds; 
   • to drive off, especially evil spirits (tapa or ti leaves were torn into strips, blessed, and passed over a patient in order to exorcise spirits). 
cf. ehu, spray. ",hu
kolokolokio.net,kolokolokio, ,io
kolopoma.net,kolopoma,chloroform. ,ma
kiomana.net,kiomana,"to ride or sit astride, as on a horse; to straddle. ",na
kuhikau.net,kuhikau,"to point out, direct. ",au
kinakinai.net,kinakinai, ,ai
kuakuai.net,kuakuai, ,ai
kuapola.net,kuapola,taboo night proclaimed in month of ʻIkuwā during the makahiki festivals. ,la
kuauli.net,kuauli,"verdant countryside. lit., green back. ",li
kipao.net,kipao, ,ao
koloniala.net,koloniala,colonial. ,la
komikina.net,komikina,"commissioner, commission; to commission. ",na
kuahonu.net,kuahonu,"name of a quilting design. lit., turtle back. ",nu
kuaniki.net,kuaniki,quantity. ,ki
kuaweli.net,kuaweli,dark in color. ,li
kiulela.net,kiulela,squirrel. ,la
kolohala.net,kolohala,"pheasant (Phasianus colchicus torquatus), the showy ring-necked pheasant. lit., creep go on. ",la
kuakolu.net,kuakolu,"five generations removed, of a great-great-great-grandparent or great-great-great-grandchild, as kupuna kuakolu, moʻopuna kuakolu, for some speakers, four generations removed. ",lu
kualena.net,kualena,"to stretch, as tapa to free from wrinkles; taut. fig., to concentrate the thoughts. ",na
kinemona.net,kinemona, ,na
kolokolohai.net,kolokolohai,"humble, modest, thoughtful, kind. cf. kolokolo, creeping, as in respect to a chief, and akahai, modest. ",ai
kopekope.net,kopekope,"   • to scribble.
   • redup. of kope₁ to rake, scratch...    ",pe
kolopua.net,kolopua,"fragrant, as air laden with the perfume of flowers, sometimes said of the breath. lit., creeping flowers. ",ua
komana.net,komana,"stone, as used with octopus lures. ",na
kopahela.net,kopahela,gopher. ,la
koipali.net,koipali,"name of a wind associated with Hālawa, Molokaʻi. ",li
kolopao.net,kolopao,a bird (no data). ,ao
kuawili.net,kuawili,"   • long repetitious prayer said at luakini dedication ceremonies, 
   • hence repetitiousness in general; 
   • to repeat, 
   • to wander, digress, perhaps senselessly. ",li
kuekueni.net,kuekueni,"to shake, tremble, vibrate, swing back and forth, as a waving kāhili, feather emblem. ",ni
kualana.net,kualana,"lazy, indolent, bored, fatigued; roving about without a chief to support one, as a ""floater"" (lana); to wander. ",na
kualapa.net,kualapa,ridge. ,pa
kopiana.net,kopiana,scorpion. ,na
kokokomo.net,kokokomo, ,mo
kokuli.net,kokuli,earwax. ,li
kololani.net,kololani,to go away silently. ,ni
kinihene.net,kinihene,Guinea hen. ,ne
kipikua.net,kipikua,"pickaxe. lit., dig hew. ",ua
kopela.net,kopela,camphor tree and product. ,la
kipona.net,kipona,"   • intense; to intensify, usually but not always pejorative, often followed by a qualifier; 
   • translations vary greatly and depend on context; very common in (Kel); 
   • distress, pain.    ",na
kolepa.net,kolepa,golf (the game). ,pa
kokopuna.net,kokopuna,"first menstruation. lit., spring blood. ",na
kuakala.net,kuakala,"medicine made of pua kala plant and taken as treatment for pyorrhea, neuralgia, stomach ulcers. ",la
kuakeao.net,kuakeao,"lit., back of the light. ",ao
kinailehua.net,kinailehua,"rain associated with Panaʻewa, Hawaiʻi. lit., quenching lehua flowers. ",ua
kokoiki.net,kokoiki,"star said to be named for Kokoiki, Kohala, Hawaiʻi, where it was first observed at the time of Kamehameha's birth. lit., little blood. ",ki
kuanalio.net,kuanalio,northern heavens and its stars. ,io
kokolowini.net,kokolowini,"sharp, penetrating, of wind; gust. ",ni
kuhaua.net,kuhaua, ,ua
kopenahakena.net,kopenahakena,Copenhagen. ,na
kuanunu.net,kuanunu,stroke in lua fighting. ,nu
koholua.net,koholua,"lance for boils, sores, as of fishbone or a sharp stick; abortion stick; this term, like that referring to other sharp things (shark, sea urchin, eel) is applied to chiefs as indicative of the sharp defense of the chief against contact with his taboo person, or infringement of his taboos. ",ua
kohukohu.net,kohukohu, ,hu
kolowalu.net,kolowalu,name of a law in the time of Kū-aliʻi safeguarding the rights of commoners. ,lu
kuahulu.net,kuahulu, ,lu
kuakeahu.net,kuakeahu,"distant legendary place, as the brink of the nether world into which spirits leaped. Also Leinaakeakua. ",hu
koikoina.net,koikoina,urging; to urge. ,na
kolamu.net,kolamu,column. ,mu
konenene.net,konenene, ,ne
kueni.net,kueni, ,ni
konuwaena.net,konuwaena, ,na
kualau.net,kualau,shower accompanied by sea wind. ,au
kuhilani.net,kuhilani,to point out and interpret signs in the sky; a reader of signs in the sky. ,ni
kuekena.net,kuekena,Sweden; Swede; Swedish. ,na
kinimakalehua.net,kinimakalehua,"name of a mountain rain. lit., countless lehua blossoms. ",ua
kolomona.net,kolomona,a native shrub (Cassia gaudichaudii) with greenish-yellow flowers and thin flat pods. ,na
kinanape.net,kinanape,"crammed, stuffed, as with food. ",pe
kipakipa.net,kipakipa, ,pa
kokohu.net,kokohu, ,hu
koloau.net,koloau,"to stretch out; stretched out, long and thin. ",au
kuhikuhina.net,kuhikuhina,"directing, pointing out, gesturing, reference, instruction, program, director. ",na
kopina.net,kopina,coping on the top of a building. ,na
kinola.net,kinola,"lyre (RSV), harp (KJV). ",la
kokinakina.net,kokinakina,Cochin China. ,na
kopolano.net,kopolano,soprano. ,no
kuahaua.net,kuahaua,"proclamation, declaration; to proclaim, announce. ",ua
kuaihelani.net,kuaihelani,"a famous legendary place in the high heavens, a home of the deified dead. ",ni
koehonua.net,koehonua,"a large remainder, a balance, remnant; to be many remaining. ",ua
koiala.net,koiala, ,la
kinipeki.net,kinipeki,name of a game in which the stone called hiu was used. ,ki
konini.net,konini,"   • to wag, as a dog's tail; 
   • to flutter, wave, 
   • move to and fro.   ",ni
kolekolelehua.net,kolekolelehua, ,ua
konewala.net,konewala,Cornwall. ,la
kopilimakio.net,kopilimakio,confirmation (Catholic term); to confirm. ,io
kinakina.net,kinakina,"redup. of kina, incessant, continual... ",na
kokoina.net,kokoina,"urging, insistence. ",na
kuahinahina.net,kuahinahina,gray-headed. Molokaʻi. ,na
kuahelemai.net,kuahelemai,awkward. ,ai
kuekuene.net,kuekuene, ,ne
konene.net,konene,"desiccated, dried, as fruit. ",ne
konouli.net,konouli,"same as konoʻele (darkness, as of a forest; said also of the inside of thighs thought to be darkened by the chafing of the malo; somewhat darker than konouli...), but perhaps less dark. ",li
kopena.net,kopena,"hornet, wasp, scorpion (kopiana is the usual name for scorpion). ",na
kokoki.net,kokoki, ,ki
komikiona.net,komikiona,commissioner. ,na
kuakualau.net,kuakualau, ,au
kuapala.net,kuapala,a taboo chief who had the right to carry a pala fern in ceremonies. ,la
kuhaulua.net,kuhaulua,children of a high chief by a secondary wife or of second degree collaterality. ,ua
kinaina.net,kinaina,"extinguishing, putting out, snuffing out of life. ",na
kokololio.net,kokololio,"   • sharp, swift wind gust; 
   • rapid flowing water; 
   • drafty; 
   • to blow in gusts, 
   • move fast. ",io
kolihana.net,kolihana,"straight, tall. ",na
kololio.net,kololio, ,io
kolukeline.net,kolukeline,glycerine. ,ne
konela.net,konela,colonel. ,la
kualima.net,kualima,seven generations removed. ,ma
kinikaona.net,kinikaona,Kingston. ,na
kiokiola.net,kiokiola, ,la
kohelemu.net,kohelemu,"dull, inattentive, inactive. ",mu
koeheke.net,koeheke,go ahead! ,ke
kualakai.net,kualakai,"a sea creature, perhaps Aplysia dactylomela or A. juliana. ",ai
kionohoone.net,kionohoone,"probably Natica gualteriania. lit., sand-dwelling kio (mollusk). ",one
kolomeki.net,kolomeki,third mate on a ship; the officer next to the second mate. ,ki
kuila.net,kuila,twill. ,la
kumino.net,kumino,cumin. ,no
kuili.net,kuili,"prayer committed to memory and recited in unison during luakini (temple) dedications (Malo 171); to repeat, pray. ",li
kuilehua.net,kuilehua,"name of a breeze blowing from the northwest of Niʻihau. lit., strike Lehua (Island). ",ua
kulekia.net,kulekia,Crusader. ,kia
kumukumu.net,kumukumu,"   • truncated stumps, roots; 
   • stubs, as of cut grass or decayed teeth; 
   • stump, 
   • stubble, as of a beard. ",mu
kuolokani.net,kuolokani,"timbrel (Puk. 15.20) , psaltery (Hal. 92.3) . ",ni
kupelina.net,kupelina,Dublin. ,na
lanaau.net,lanaau,"to float or drift with the current; to look about in every direction, wander, ramble, drift aimlessly. ",au
lapawai.net,lapawai,amniotic fluid. ,ai
lawalawaihonua.net,lawalawaihonua,type of large wooden bowl. ,ua
laweau.net,laweau,"to drift apart; to depart, as in death. ",au
lehuuila.net,lehuuila,flashes of lightning; to flash. ,la
lanilani.net,lanilani, ,ni
lawehana.net,lawehana,"workman, laborer; industrious; to do labor, work. ",na
kukaweke.net,kukaweke,raincoat. ,ke
kupualalookalani.net,kupualalookalani,"name of a star. lit., demigod beneath the heavens. ",ni
lapaiki.net,lapaiki,small drum. ,ki
lauhua.net,lauhua,"a kind of ʻoʻopu, a fish. ",ua
kukamino.net,kukamino,"sycamine, a tree mentioned by Jesus; according to (Harper), a mulberry, probably the black variety. ",no
laholena.net,laholena,"lazy, indolent, idling. ",na
laukonakona.net,laukonakona, ,na
lehuakona.net,lehuakona,"star in the Milky Way, perhaps Antares. lit., south lehua flower. ",na
kupaloke.net,kupaloke,"tuberose (Polianthes tuberosa), popular in leis. ",ke
laehina.net,laehina,"same as noio, a tern. lit., white brow. ",na
laukani.net,laukani,"tough, hardy. ",ni
lawelua.net,lawelua,"to study both sides of a question; to act impartially. lit., take two. ",ua
kuluhio.net,kuluhio,wafted off to sleep. ,io
kuluma.net,kuluma,"accustomed to, acquainted with, intimate with; customary, usual, chronic. ",ma
kumumu.net,kumumu, ,mu
kupae.net,kupae,goodbye; to say goodbye. ,ae
laikini.net,laikini,license. ,ni
lauone.net,lauone,"soil light, fertile, and easy to cultivate; alluvial soil, sandy soil. lit., sand surface. ",one
laumanamana.net,laumanamana,a variety of sweet potato. ,na
lainakini.net,lainakini, ,ni
laukua.net,laukua,"confused, repetitious, mixed, incoherent, as speech; miscellaneous; irregular-shaped, as some leaves. ",ua
kuhuhua.net,kuhuhua, ,ua
kumeheu.net,kumeheu,"path, trail, road. ",eu
lanakamalama.net,lanakamalama,"name of a star. lit., the light floats. ",ma
kumakala.net,kumakala,Sumatra. ,la
laukana.net,laukana,"uninterested in religion, indifferent to religion. ",na
laholio.net,laholio,"rubber; automobile tire; elastic, rubbery. lit., horse scrotum. ",io
laipila.net,laipila,libel; to libel. ,la
kulene.net,kulene,Cyrene. ,ne
lehalehai.net,lehalehai, ,ai
laukanu.net,laukanu,planted sweet-potato vine. ,nu
lalahai.net,lalahai, ,ai
lapauila.net,lapauila, ,la
kukaima.net,kukaima, ,ma
kukekani.net,kukekani,Tuscany. ,ni
kumima.net,kumima,Thummim. ,ma
lahalahaina.net,lahalahaina, ,na
laukapalala.net,laukapalala,"legendary name for broad leaves of the first taro, said to have been born of a woman. ",la
lakeke.net,lakeke,"jacket, blouse. ",ke
kukane.net,kukane,"a rough lemon (Citrus limonia), liked for the fragrance of the skin, but too sour to eat. lit., having the nature of the kane skin fungus. ",ne
